МКОУ СОШ №6,Барсуковская,Кочубеевский,2610014960,1022600768684
"ГБУ СК ""Стававтодор""",Ставрополь,Ставрополь,2635244194,1192651021441
"Муниципальное казённое общеобразовательное учреждение ""Средняя общеобразовательная школа № 3""",Кочубеевское,Кочубеевский,2610014921,1022600769003
"Государственное казенное учреждение Ставропольского края ""Дирекция автомобильных дорог""",Ставрополь,Ставрополь,2635244162,1192651021452
МБОУ СОШ №37 г. Ставрополя,Ставрополь,Ставрополь,2635027898,1022601957256
ГУП УКС СК,Ставрополь,Ставрополь,2634059657,1032600971831
"ГУП СК ""Ставрополькрайводоканал""",Ставрополь,Ставрополь,2635040105,1022601934630
"НО ""Фонд защиты прав граждан - участников долевого строительства в СК""",Ставрополь,Ставрополь,2636217147,1192651014346
"ГКОУ ""Специальная (коррекционная) общеобразовательная школа-интернат № 4""",хутор Базовый,Грачевский ,2606007505,1022603024388
Управление сельского хозяйства администрации,Буденновск,Буденновский,2624030137,1062646015387
"ГБУ СК ""Буденновская РАЙСББЖ""",Буденновск,Буденновский,2624027776,1042600670133
"ГБОУ СК ""СОШ №3""",поселок Мирный,Предгорный ,2618023886,1192651019208
Государственное бюджетное учреждение архитектуры и градостроительства Ставропольского края,Ставрополь,Ставрополь,2634051506,1022601951723
МБУДО ДШИ ст.Ессентукской,станица Ессентукская,Предгорный ,2618010005,1022600963582
МБУДО ДШИ № 2 г. Ставрополя,Ставрополь,Ставрополь,2636032932,1022601957311
ГБУЗ СК «Краевой центр СПИД»,Ставрополь,Ставрополь,2633003771,1022601947070
"Муниципальное казенное учреждение культуры ""Сельский Дом культуры"" c. Вознесеновского",село Вознесеновское,Апанасенковский,2602006420,1082643000296
"Муниципальное казенное учреждение ""Управление по хозяйственному обеспечению администрации муниципального образования поселка Мирный Предгорного района Ставропольского края""",поселок Мирный,Предгорный ,2618800525,1122651000834
"МКОУ ""СОШ №10""",поселок Цимлянский,Шпаковский,2623013072,1022603022111
"ГКОУ ""Специальная (коррекционная) общеобразовательная школа-интернат №15""",поселок Каскадный,Андроповский ,2603008821,1022603623910
"МКУКС ""КСЦ п. Ясная Поляна""",поселок Ясная Поляна,Предгорный ,2618800606,1122651005564
"ГКДОУ Детский сад №3 ""Крепыш""",Кисловодск,Кисловодск,2628034950,1022601314670
"МКУ ""ДКИС""",село Винсады,Предгорный ,2618022547,1172651002875
"МОУ ""СОШ № 14""",аул Эдельбай,Благодарненский,2605011330,1022602422930
"ГБУ СК СТЦ ""Ставрополь Арена""",Ставрополь,Ставрополь,2635236299,1182651014809
ГБОУ ЦППРК,село Кочубеевское,Кочубеевский,2610017753,1062648015143
Администрация МО Деминского сельсовета,хутор Демино,Шпаковский,2623005441,1022603027798
"ГБОУ ""ЦППРиК""",Кисловодск,Кисловодск,2628043578,1032600543876
"ГБОУ ЦППРК ""РостОК""",Буденновск,Буденновский,2624024648,1022603226678
МКОУ СОШ № 7 п. Чограйский,поселок Чограйский,Арзгирский,2604002653,1022603227240
МОУ СОШ № 14 село  Орловки,село Орловка,Буденновский,2624024278,1022603228086
"ГБОУ ""Психологический центр"" г. Невинномысска",Невинномысск,Невинномысск,2631021302,1022603626286
"ГКУ ""ОВАМОСК""",Ставрополь,Ставрополь,2635801656,1102651004983
"ГКОУ ""Специальная (коррекционная) школа-интернат № 14""",село Константиновское,Петровский,2617008902,1022600937138
"МКУ ""Центр хозяйственного обслуживания""",Железноводск,Железноводск,2627027171,1192651011520
"МКУ ""ПОХОА""",село Винсады,Предгорный ,2618021127,1112650000022
Отдел образования и молодежной политики АКГО СК,Новопавловск,Кировский,2609024900,1172651027812
МКОУ СОШ № 8 село Манычское,село Манычское,Апанасенковский,2602004655,1022602621975
"МКДОУ Д/С № 21 ""Одуванчик""",хутор Андрей-Курган,Нефтекумский,2614800059,1112651000330
"МКДОУ Д/С №17 ""Петушок""",село Каясула,Нефтекумский,2614016045,1022600872843
"МКДОУ Д/С № 13 ""Колосок""",село Ачикулак,Нефтекумский,2614016038,1022600872898
"МКДОУ Д/С № 12 ""Дюймовочка""",село Ачикулак,Нефтекумский,2614015806,1022600872909
"МКДОУ Д/С № 11 ""Ковылек""",село Озек-Суат,Нефтекумский,2614015860,1022600872744
"МКДОУ Д/С №10 ""Солнышко""",поселок Зимняя Ставка,Нефтекумский,2614800066,1112651000340
"МКДОУ Д/С № 8 ""Звездочка""",поселок Затеречный,Нефтекумский,2614016870,1022600873459
"МКДОУ Д/С № 7 ""Белочка""",Нефтекумск,Нефтекумский,2614017200,1022600872910
"МКДОУ Д/С № 5 ""Тополек""",Нефтекумск,Нефтекумский,2614016969,1022600872690
Управление труда и занятости населения  ,Георгиевск,Георгиевский,2625036332,1092625000885
МКОУ СОШ № 3 им. Ф.А. Зубалова,село Красноярское,Андроповский ,2603008701,1022603623921
"МОУ ""СОШ № 13""",село Мирное,Благодарненский,2605011379,1022602421490
ОИЗО администрации БМР СК,Буденновск,Буденновский,2624028410,1042600686281
"МКДОУ Д/С № 23 ""Ягодка""",поселок Зункарь,Нефтекумский,2614800531,1122651036969
"МКДОУ Д/С № 20 ""Огонек""",аул Абрам-Тюбе,Нефтекумский,2614015919,1022600873954
